Sample ID, Concentration, Abs  360 nm, Abs  380 nm, Abs  405 nm, Abs  425 nm, Abs  470 nm, Abs  502 nm, Abs  525 nm, Abs  555 nm, Abs  590 nm, Abs  615 nm, Abs  635 nm, Abs  660 nm, Abs  700 nm, Abs  740 nm, Abs  770 nm, Abs  890 nm, 
Blank,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
std1,10.000000,0.000000,0.031641,0.023811,0.033627,0.022479,0.013884,0.013618,0.005394,0.000000,0.001151,0.006230,0.000000,0.000000,0.000000,0.001556,0.005808,
std2,20.000000,0.009435,0.043545,0.035917,0.050360,0.018373,0.016245,0.007890,0.008681,0.000000,0.000000,0.003078,0.001431,0.001260,0.000000,0.000686,0.001774,
std3,30.000000,0.008930,0.058197,0.082251,0.088454,0.042859,0.015045,0.000000,0.004616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006850,0.000000,
std4,43.000000,0.024409,0.073677,0.113151,0.114577,0.055599,0.010422,0.000000,0.004068,0.006039,0.001270,0.000000,0.000000,0.001611,0.000000,0.003584,0.000000,
std5,55.000000,0.029143,0.101856,0.144384,0.147500,0.075008,0.012525,0.000000,0.001132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010429,0.000000,
std6,65.000000,0.030334,0.106585,0.131269,0.147191,0.071814,0.015765,0.011745,0.008635,0.000000,0.000472,0.008523,0.000000,0.000000,0.000000,0.001961,0.005739,
std6,65.000000,0.045099,0.108547,0.139484,0.148201,0.069138,0.019084,0.007427,0.008520,0.000000,0.000501,0.010291,0.000000,0.000000,0.000000,0.001475,0.000000,
std8,85.000000,0.061877,0.117569,0.185829,0.188915,0.081637,0.006660,0.000000,0.008589,0.007665,0.000000,0.000000,0.000000,0.001260,0.001873,0.001475,0.000000,
std9,105.000000,0.065384,0.162354,0.204903,0.223435,0.100378,0.018898,0.010967,0.006495,0.000000,0.000000,0.005752,0.000000,0.000268,0.000000,0.000000,0.002605,
